,ticker,security,sector,subindustry,registered,founded
493,WHR,Whirlpool Corporation,Consumer Discretionary,Household Appliances,,1911
494,WMB,Williams Companies,Energy,Oil & Gas Storage & Transportation,1975-03-31,1908
495,WTW,Willis Towers Watson,Financials,Insurance Brokers,2016-01-05,2016
496,WYNN,Wynn Resorts,Consumer Discretionary,Casinos & Gaming,2008-11-14,2002
497,XEL,Xcel Energy,Utilities,Multi-Utilities,1957-03-04,1909
498,XLNX,Xilinx,Information Technology,Semiconductors,1999-11-08,1984
499,XYL,Xylem,Industrials,Industrial Machinery,2011-11-01,2011
500,YUM,Yum! Brands,Consumer Discretionary,Restaurants,1997-10-06,1997
501,ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments,2019-12-23,1969
502,ZBH,Zimmer Biomet,Health Care,Health Care Equipment,2001-08-07,1927
503,ZION,Zions Bancorp,Financials,Regional Banks,2001-06-22,1873
504,ZTS,Zoetis,Health Care,Pharmaceuticals,2013-06-21,1952
