,ticker,security,sector,subindustry,registered,founded
239,HPQ,HP,Information Technology,"Technology Hardware, Storage & Peripherals",1974-12-31,1939 (2015)
240,HUM,Humana,Health Care,Managed Health Care,,1961
241,HBAN,Huntington Bancshares,Financials,Regional Banks,,1866
242,HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,2018-01-03,2011
243,IEX,IDEX Corporation,Industrials,Industrial Machinery,2019-08-09,1988
244,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2017-01-05,1983
245,INFO,IHS Markit,Industrials,Research & Consulting Services,2017-06-02,1959
246,ITW,Illinois Tool Works,Industrials,Industrial Machinery,1986-02-28,1912
247,ILMN,Illumina,Health Care,Life Sciences Tools & Services,2015-11-19,1998
248,INCY,Incyte,Health Care,Biotechnology,2017-02-28,1991
249,IR,Ingersoll Rand,Industrials,Industrial Machinery,2020-03-03,1859
250,INTC,Intel,Information Technology,Semiconductors,1976-12-31,1968
251,ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,2007-09-26,2000
252,IBM,IBM,Information Technology,IT Consulting & Other Services,1957-03-04,1911
253,IP,International Paper,Materials,Paper Packaging,1957-03-04,1898
254,IPG,Interpublic Group,Communication Services,Advertising,1992-10-01,1961 (1930)
255,IFF,International Flavors & Fragrances,Materials,Specialty Chemicals,1976-03-31,1958 (1889)
256,INTU,Intuit,Information Technology,Application Software,2000-12-05,1983
257,ISRG,Intuitive Surgical,Health Care,Health Care Equipment,2008-06-02,1995
258,IVZ,Invesco,Financials,Asset Management & Custody Banks,2008-08-21,1935
259,IPGP,IPG Photonics,Information Technology,Electronic Manufacturing Services,2018-03-07,1990
260,IQV,IQVIA,Health Care,Life Sciences Tools & Services,2017-08-29,1982
261,IRM,Iron Mountain,Real Estate,Specialized REITs,2009-01-06,1951
262,JKHY,Jack Henry & Associates,Information Technology,Data Processing & Outsourced Services,2018-11-13,1976
263,J,Jacobs Engineering Group,Industrials,Construction & Engineering,2007-10-26,1947
264,JBHT,J. B. Hunt,Industrials,Trucking,2015-07-01,1961
265,SJM,JM Smucker,Consumer Staples,Packaged Foods & Meats,2008-11-06,1897
266,JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,1973-06-30,1886
267,JCI,Johnson Controls,Industrials,Building Products,2010-08-27,1885
268,JPM,JPMorgan Chase,Financials,Diversified Banks,1975-06-30,2000 (1799 / 1871)
269,JNPR,Juniper Networks,Information Technology,Communications Equipment,2006-06-02,1996
270,K,Kellogg's,Consumer Staples,Packaged Foods & Meats,1989-09-11,1906
271,KEY,KeyCorp,Financials,Regional Banks,1994-03-01,1825
272,KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,2018-11-06,2014
273,KMB,Kimberly-Clark,Consumer Staples,Household Products,1957-03-04,1872
274,KIM,Kimco Realty,Real Estate,Retail REITs,2006-04-04,1958
275,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2012-05-25,1997
276,KLAC,KLA Corporation,Information Technology,Semiconductor Equipment,,1975/1977 (1997)
277,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,2015-07-06,2015 (1869)
278,KR,Kroger,Consumer Staples,Food Retail,1957-03-04,1883
279,LHX,L3Harris Technologies,Industrials,Aerospace & Defense,2008-09-22,2019 (1895)
280,LH,LabCorp,Health Care,Health Care Services,2004-11-01,1978
281,LRCX,Lam Research,Information Technology,Semiconductor Equipment,2012-06-29,1980
282,LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,2018-12-03,2016 (1950)
283,LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,2019-10-03,1988
284,LDOS,Leidos,Industrials,Diversified Support Services,2019-08-09,1969
285,LEN,Lennar,Consumer Discretionary,Homebuilding,2005-10-04,1954
286,LLY,Eli Lilly,Health Care,Pharmaceuticals,1970-12-31,1876
287,LNC,Lincoln National,Financials,Multi-line Insurance,1976-06-30,1905
288,LIN,Linde,Materials,Industrial Gases,1992-07-01,1879
289,LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,2019-12-23,2010
290,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2016-05-23,1998
291,LMT,Lockheed Martin,Industrials,Aerospace & Defense,1984-07-31,1995
292,L,Loews Corporation,Financials,Multi-line Insurance,,1959
293,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,1984-02-29,1904/1946/1959
294,LUMN,Lumen Technologies,Communication Services,Alternative Carriers,1999-03-25,1983 (1877)
295,LYB,LyondellBasell,Materials,Specialty Chemicals,2012-09-05,2007
296,MTB,M&T Bank,Financials,Regional Banks,2004-02-23,1856
297,MRO,Marathon Oil,Energy,Oil & Gas Exploration & Production,1991-05-01,1887
298,MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,2011-07-01,2009 (1887)
299,MKTX,MarketAxess,Financials,Financial Exchanges & Data,2019-07-01,2000
300,MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",,1927
301,MMC,Marsh & McLennan,Financials,Insurance Brokers,1987-08-31,1905
302,MLM,Martin Marietta Materials,Materials,Construction Materials,2014-07-02,1993
303,MAS,Masco,Industrials,Building Products,1981-06-30,1929
304,MA,Mastercard,Information Technology,Data Processing & Outsourced Services,2008-07-18,1966
305,MTCH,Match Group,Communication Services,Interactive Media & Services,2021-09-20,1986
306,MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats,2003-03-20,1889
307,MCD,McDonald's,Consumer Discretionary,Restaurants,1970-06-30,1940
308,MCK,McKesson Corporation,Health Care,Health Care Distributors,,1833
309,MDT,Medtronic,Health Care,Health Care Equipment,1986-10-31,1949
310,MRK,Merck,Health Care,Pharmaceuticals,1957-03-04,1891
311,FB,Meta Platforms,Communication Services,Interactive Media & Services,2013-12-23,2004
312,MET,MetLife,Financials,Life & Health Insurance,,1868
313,MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,2016-09-06,1945
314,MGM,MGM Resorts International,Consumer Discretionary,Casinos & Gaming,2017-07-26,1986
315,MCHP,Microchip Technology,Information Technology,Semiconductors,2007-09-07,1989
316,MU,Micron Technology,Information Technology,Semiconductors,1994-09-27,1978
317,MSFT,Microsoft,Information Technology,Systems Software,1994-06-01,1975
318,MAA,Mid-America Apartments,Real Estate,Residential REITs,2016-12-02,1977
319,MRNA,Moderna,Health Care,Biotechnology,2021-07-21,2010
320,MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings,2013-12-23,1878
321,TAP,Molson Coors,Consumer Staples,Brewers,1976-06-30,"2005 (Molson 1786, Coors 1873)"
322,MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,2012-10-02,2012
323,MPWR,Monolithic Power Systems,Information Technology,Semiconductors,2021-02-12,1997
324,MNST,Monster Beverage,Consumer Staples,Soft Drinks,2012-06-28,2012 (1935)
325,MCO,Moody's,Financials,Financial Exchanges & Data,,1909
