,uuid,title,publisher,link,providerPublishTime,type
0,ed65c15b-df75-3be6-9999-7ac77347051c,Here's Why EOG Resources (EOG) is a Strong Value Stock,Zacks,https://finance.yahoo.com/news/heres-why-eog-resources-eog-140802589.html,1648562882,STORY
1,8b741e35-71fe-397f-81a0-52b19e0b001d,How EOG Resources (EOG) Stock Stands Out in a Strong Industry,Zacks,https://finance.yahoo.com/news/eog-resources-eog-stock-stands-121512585.html,1648556112,STORY
2,cc7ccf2b-21f0-3d1b-be10-cb695a0d5de5,Why EOG Resources (EOG) is a Top Momentum Stock for the Long-Term,Zacks,https://finance.yahoo.com/news/why-eog-resources-eog-top-145602744.html,1648479362,STORY
3,e2aa46a2-cfb1-3c05-ac26-4e4ceb760f15,BP Reveals Plans to Invest 1B Pounds in UK's EV Charging,Zacks,https://finance.yahoo.com/news/bp-reveals-plans-invest-1b-132901754.html,1648474141,STORY
4,d2fa40f8-9b14-34ad-8a9c-fd7d423713c0,Eco (Atlantic) Oil and Gas Ltd. Announces TSXV Approval for Closing of Azinam Acquisition,ACCESSWIRE,https://finance.yahoo.com/news/eco-atlantic-oil-gas-ltd-060000217.html,1648447200,STORY
5,9890ab60-532f-3fec-9f4b-692bfdfa114f,7 Energy Stocks to Buy Heading Into April,InvestorPlace,https://finance.yahoo.com/news/7-energy-stocks-buy-heading-170440151.html,1648227880,STORY
6,b8ee9e7b-c3bc-3b22-a95e-876e8e641b03,Valero Energy (VLO) Stock Jumps 28.4% YTD: More Room to Run?,Zacks,https://finance.yahoo.com/news/valero-energy-vlo-stock-jumps-145202713.html,1648219922,STORY
7,822217bd-7ff4-39da-8e1a-7d5a5a3a6bdb,ExxonMobil (XOM) Drills New Oil Prospect Offshore Brazil,Zacks,https://finance.yahoo.com/news/exxonmobil-xom-drills-oil-prospect-144402778.html,1648219442,STORY
