,uuid,title,publisher,link,providerPublishTime,type
0,add5600b-40be-3f50-8475-07d0df361d5a,US STOCKS-Wall Street ends lower as war in Ukraine stirs uncertainty,Reuters,https://finance.yahoo.com/news/us-stocks-wall-street-ends-211655064.html,1646342215,STORY
1,e64c717f-bfb6-3cb8-99da-5517facb5966,Did Elon Musk Just Extend an Olive Branch to Joe Biden?,TheStreet.com,https://finance.yahoo.com/m/e64c717f-bfb6-3cb8-99da-5517facb5966/did-elon-musk-just-extend-an.html,1646339340,STORY
2,099fc951-7b53-3477-9ef7-591370401ccc,Tesla Stock: Breakout or Breakdown Ahead? Check the Chart.,TheStreet.com,https://finance.yahoo.com/m/099fc951-7b53-3477-9ef7-591370401ccc/tesla-stock%3A-breakout-or.html,1646334960,STORY
3,7df2aea2-4aca-32ec-85eb-924c1359efcf,Gas prices become increasing liability for Biden administration amid Russia-Ukraine war,Yahoo Finance Video,https://finance.yahoo.com/video/gas-prices-become-increasing-liability-184333059.html,1646333013,VIDEO
4,58bd1573-b4ff-39a0-a231-c39d4abad241,"Travel, auto stocks decline on soaring oil prices, supply chain concerns",Yahoo Finance Video,https://finance.yahoo.com/video/travel-auto-stocks-decline-soaring-182225837.html,1646331745,VIDEO
5,7b9c2f3a-126a-3449-9b10-783b08e2cd2d,Tesla CEO Elon Musk invites UAW to hold union vote at California factory,Yahoo Finance Video,https://finance.yahoo.com/video/tesla-ceo-elon-musk-invites-180425264.html,1646330665,VIDEO
6,1234448b-c9c3-49fe-b3a0-6392b1731619,Why this Ford stock bull sees the price ripping 40% higher,Yahoo Finance,https://finance.yahoo.com/news/why-this-ford-stock-bull-sees-the-price-ripping-40-higher-173944568.html,1646329184,STORY
7,90cfdfa8-4924-333f-92d3-7f9e40f6f507,Why Tesla Stock Fell on Thursday,Motley Fool,https://finance.yahoo.com/m/90cfdfa8-4924-333f-92d3-7f9e40f6f507/why-tesla-stock-fell-on.html,1646327921,STORY
