,uuid,title,publisher,link,providerPublishTime,type
0,b88ce93b-9045-3295-a8ff-a9079109f308,CenterPoint Energy Announces Full Exit from Midstream Interest and Receives Improved Credit Thresholds from Moody’s,Business Wire,https://finance.yahoo.com/news/centerpoint-energy-announces-full-exit-103000632.html,1648463400,STORY
1,722bd971-7bb7-38dd-9364-51f549381306,"Flying Through the Business Cycle, Fed Needs to Land the Plane (Capital Market Research) (Weekly Market Outlook)",Moody's,https://finance.yahoo.com/news/flying-business-cycle-fed-needs-192010007.html,1648149610,STORY
2,f22e72c5-b737-31d0-9c43-8371e22558fb,Why Is CenterPoint (CNP) Up 11.8% Since Last Earnings Report?,Zacks,https://finance.yahoo.com/news/why-centerpoint-cnp-11-8-153003989.html,1648135803,STORY
3,bfcb0d53-188e-3289-a894-94808075da7b,Fed Trying to Play Catch-Up (Capital Market Research) (Weekly Market Outlook),Moody's,https://finance.yahoo.com/news/fed-trying-play-catch-capital-180310529.html,1647540190,STORY
4,c67be360-7be2-3220-a8f2-213f83b74cef,CenterPoint Energy Announces 2022 Annual Meeting of Shareholders,PR Newswire,https://finance.yahoo.com/news/centerpoint-energy-announces-2022-annual-213400729.html,1646948040,STORY
5,bb834238-6c82-3910-a03f-8d062ed4057c,Top Utilities Stocks for March 2022,Investopedia,https://finance.yahoo.com/m/bb834238-6c82-3910-a03f-8d062ed4057c/top-utilities-stocks-for.html,1645841128,STORY
6,8784678c-cddc-3f58-a840-6a004d7baed5,"Sempra Energy (SRE) Q4 Earnings Beat, Revenues Rise Y/Y",Zacks,https://finance.yahoo.com/news/sempra-energy-sre-q4-earnings-160904206.html,1645805344,STORY
7,0f070daa-11c0-37af-949d-efc3058367f4,"CenterPoint Energy, Inc. (NYSE:CNP) insiders placed bullish bets worth US$2.6m in the last 12 months",Simply Wall St.,https://finance.yahoo.com/news/centerpoint-energy-inc-nyse-cnp-111810864.html,1645787890,STORY
